,date,ticker,accounting_item,value
15021,2020-06-30,FORM,operatingIncome_yoy,1.5006114508060033
15032,2020-09-30,FORM,operatingIncome_yoy,1.3606855918585965
15054,2020-12-31,FORM,operatingIncome_yoy,-0.12184838519268071
15057,2021-03-31,FORM,operatingIncome_yoy,0.22870320130222455
15073,2021-06-30,FORM,operatingIncome_yoy,-0.09527408527097314
15087,2021-09-30,FORM,operatingIncome_yoy,0.05517992467214228
15096,2021-12-31,FORM,operatingIncome_yoy,0.5263107355483003
15104,2022-03-31,FORM,operatingIncome_yoy,0.5095606094060499
15121,2022-06-30,FORM,operatingIncome_yoy,0.6327764127764128
15132,2022-09-30,FORM,operatingIncome_yoy,-0.5613039177740506
15148,2022-12-31,FORM,operatingIncome_yoy,-1.5015728216420259
15168,2023-06-30,FORM,operatingIncome_yoy,-0.9973379358764334
15175,2023-09-30,FORM,operatingIncome_yoy,-1.0394859602130797
15176,2023-09-30,FORM,operatingIncome_yoy,-0.7346338594255466
15193,2023-12-31,FORM,operatingIncome_yoy,-1.5216055189714646
15210,2024-03-31,FORM,operatingIncome_yoy,10.340659340659341
15217,2024-06-30,FORM,operatingIncome_yoy,-14.545731707317072
15231,2024-09-30,FORM,operatingIncome_yoy,5.595862578500185
15241,2024-12-31,FORM,operatingIncome_yoy,-0.0561500541060479
15250,2025-03-31,FORM,operatingIncome_yoy,2.1676356589147288
14768,2015-03-31,ICHR,operatingIncome_yoy,1.5684062059238362
14784,2015-06-30,ICHR,operatingIncome_yoy,-6.627317676143387
14797,2015-09-30,ICHR,operatingIncome_yoy,9.455089820359282
14812,2015-12-31,ICHR,operatingIncome_yoy,-4.557809330628803
14815,2016-03-31,ICHR,operatingIncome_yoy,-0.4326194398682043
14835,2016-06-30,ICHR,operatingIncome_yoy,0.07721032399780348
14846,2016-09-30,ICHR,operatingIncome_yoy,1.5715922107674687
14852,2016-12-31,ICHR,operatingIncome_yoy,10.002280501710377
14863,2017-03-31,ICHR,operatingIncome_yoy,4.272164150212931
14873,2017-06-30,ICHR,operatingIncome_yoy,1.3998776508972268
14884,2017-09-30,ICHR,operatingIncome_yoy,0.27008166295471425
14904,2017-12-31,ICHR,operatingIncome_yoy,0.4736242097626697
14919,2018-03-31,ICHR,operatingIncome_yoy,0.5095461888676751
14926,2018-06-30,ICHR,operatingIncome_yoy,1.1989123969751039
14936,2018-09-30,ICHR,operatingIncome_yoy,0.35001169043722236
14949,2018-12-31,ICHR,operatingIncome_yoy,-0.5793656375272522
14968,2019-03-31,ICHR,operatingIncome_yoy,-0.8571289585056185
14981,2019-06-30,ICHR,operatingIncome_yoy,-0.8836121952161985
14994,2019-09-30,ICHR,operatingIncome_yoy,-0.7123311395912713
14995,2019-12-31,ICHR,operatingIncome_yoy,-0.04597893328874769
15017,2020-03-31,ICHR,operatingIncome_yoy,0.8726591760299625
15030,2020-06-30,ICHR,operatingIncome_yoy,2.088977423638778
15042,2020-09-30,ICHR,operatingIncome_yoy,2.772426249247441
15053,2020-12-31,ICHR,operatingIncome_yoy,1.4914125481948828
15062,2021-03-31,ICHR,operatingIncome_yoy,2.3194545454545454
15068,2021-06-30,ICHR,operatingIncome_yoy,1.7101246775580394
15078,2021-09-30,ICHR,operatingIncome_yoy,0.6914299393552505
15099,2021-12-31,ICHR,operatingIncome_yoy,0.14976083286437825
15122,2022-06-30,ICHR,operatingIncome_yoy,-0.42679520184039
15134,2022-09-30,ICHR,operatingIncome_yoy,0.5354531301599283
15135,2022-09-30,ICHR,operatingIncome_yoy,-0.016617093000198313
15145,2022-12-31,ICHR,operatingIncome_yoy,0.1021719180177425
15152,2023-03-31,ICHR,operatingIncome_yoy,-0.5419015766841854
15160,2023-06-30,ICHR,operatingIncome_yoy,-1.1171963219874173
15174,2023-09-30,ICHR,operatingIncome_yoy,-1.1482164254770024
15189,2023-12-31,ICHR,operatingIncome_yoy,-1.4417985012489591
15199,2024-03-31,ICHR,operatingIncome_yoy,-1.7803504380475594
15222,2024-06-30,ICHR,operatingIncome_yoy,-0.22161046111493465
15227,2024-09-30,ICHR,operatingIncome_yoy,-0.9201907131011609
15246,2024-12-31,ICHR,operatingIncome_yoy,-0.8426938057544917
15251,2025-03-31,ICHR,operatingIncome_yoy,-0.6867147821438118
14200,2001-06-30,KLAC,operatingIncome_yoy,-0.36898814855646667
14208,2001-09-30,KLAC,operatingIncome_yoy,-0.22728182026983978
14219,2001-12-31,KLAC,operatingIncome_yoy,-0.5918278540501729
14228,2002-03-31,KLAC,operatingIncome_yoy,-0.6698174503573558
14235,2002-06-30,KLAC,operatingIncome_yoy,-0.35543180049957
14243,2002-09-30,KLAC,operatingIncome_yoy,-0.45073974283988383
14255,2002-12-31,KLAC,operatingIncome_yoy,-0.524591329068941
14266,2003-03-31,KLAC,operatingIncome_yoy,-0.30991724398199316
14270,2003-06-30,KLAC,operatingIncome_yoy,-0.3841560256654596
14279,2003-09-30,KLAC,operatingIncome_yoy,-0.35465400460861674
14290,2003-12-31,KLAC,operatingIncome_yoy,0.908431753625355
14297,2004-03-31,KLAC,operatingIncome_yoy,2.4278515625
14313,2004-06-30,KLAC,operatingIncome_yoy,3.1804208788941617
14316,2004-09-30,KLAC,operatingIncome_yoy,3.246023587967972
14326,2004-12-31,KLAC,operatingIncome_yoy,2.04547412948964
14342,2005-03-31,KLAC,operatingIncome_yoy,0.764577849190341
14345,2005-06-30,KLAC,operatingIncome_yoy,-0.05210775241620402
