SARIMA,ETS,Theta,Ensemble,ticker,date
11022712399.78267,10909563588.073648,10249064240.781378,10727113409.545898,200230,2025-10-08
9709021124.018415,11760971936.516964,10301099566.597143,10590364209.044174,200230,2025-10-09
30069436116.383766,30151406323.57434,28910653474.036022,29710498637.998043,200470,2025-10-01
30391260590.40316,27799383453.402493,27262269807.1102,28484304616.97195,200470,2025-10-02
31242232624.22428,30231333106.394382,31177834978.34764,30883800236.3221,200470,2025-10-03
30207460532.51087,30506722981.452217,31493796792.54427,30735993435.502453,200470,2025-10-04
28752602316.053703,30892383878.742783,29471091233.88376,29705359142.893417,200470,2025-10-05
29216473762.78823,31998719848.851723,29036261938.590588,30083818516.743515,200470,2025-10-06
30799634044.17122,33309827896.483536,29949939877.583134,31353133939.41263,200470,2025-10-07
31896602800.79217,35110197685.47813,30531606174.126698,32512802220.132336,200470,2025-10-08
31305155757.212948,32758174815.306274,28883222507.200874,30982184359.906696,200470,2025-10-09
41220586515.63475,42392697224.420586,41466277848.85392,41693187196.30308,200670,2025-07-01
44180857326.309074,45185005866.64766,43700501340.80187,44355454844.586205,200670,2025-07-02
47514291975.28485,46929553152.9183,45143673996.62739,46529173041.610176,200670,2025-07-03
45787672974.875786,45465195317.07304,43498625790.41207,44917164694.1203,200670,2025-07-04
47307287441.18849,46679890942.614456,44329338201.33962,46105505528.38086,200670,2025-07-05
49594333552.548325,48158881629.26453,44862925185.12432,47538713455.64572,200670,2025-07-06
50474719179.4481,48870147016.14645,44626008394.215126,47990291529.93656,200670,2025-07-07
48435041966.63141,49019752075.022766,44354725331.06104,47269839790.90507,200670,2025-07-08
52099091337.209564,51812060717.24984,46588948823.009,50166700292.48947,200670,2025-07-09
33630710882.009003,39368090334.909386,37138500831.45015,36712434016.12285,200710,2025-10-01
38143909652.42535,35622858220.08559,37608390140.83698,37125052671.11597,200710,2025-10-02
34009757534.552364,42027126454.42493,38078279450.22381,38038387813.06704,200710,2025-10-03
34787342466.47414,47859600321.33895,38548168759.61064,40398370515.80791,200710,2025-10-04
30621532878.78569,52228595260.47353,39018058068.99748,40622728736.08556,200710,2025-10-05
31940286000.20429,53173197227.24922,39487947378.38431,41533810201.945946,200710,2025-10-06
31400960212.52806,48827055161.20839,39957836687.77114,40061950687.1692,200710,2025-10-07
32699093721.50287,51933745674.74931,40427725997.15797,41686855131.13672,200710,2025-10-08
33849134517.96411,48188513559.92552,40897615306.54481,40978421128.14481,200710,2025-10-09
24315938256.94783,19057107790.788483,18844239409.797157,20739095152.511154,200780,2025-10-01
21526967438.86836,19252290643.44067,18927490313.216103,19902249465.17505,200780,2025-10-02
26473742741.444485,19161267626.59084,19130200736.022816,21588403701.35271,200780,2025-10-03
22877072402.562286,19333404232.642788,19519453506.54381,20576643380.58296,200780,2025-10-04
27392026988.648357,19208315910.12123,20421796017.75869,22340712972.17609,200780,2025-10-05
23079493733.852432,20661076124.419205,20411541551.381725,21384037136.55112,200780,2025-10-06
29644306658.17911,20900455969.18888,20721072503.576187,23755278376.9814,200780,2025-10-07
25176640593.768906,20313074066.79097,20121173980.87269,21870296213.810856,200780,2025-10-08
33299229870.44464,20508256919.443157,20204424884.29165,24670637224.72648,200780,2025-10-09
13340203127.99569,13477512835.229313,13964235834.883987,13593983932.702995,203450,2025-10-01
14304757313.69187,14431105443.7466,14109990114.638964,14281950957.359144,203450,2025-10-02
14328278998.40778,13742542634.396671,14255744394.393942,14108855342.399466,203450,2025-10-03
17987422055.453396,15935518134.753958,14401498674.148918,16108146288.118755,203450,2025-10-04
14780875673.98297,16445086911.473425,14547252953.903896,15257738513.120096,203450,2025-10-05
14773574356.93207,16146104031.950294,14693007233.658876,15204228540.847078,203450,2025-10-06
15587310107.174232,15685432421.934189,14838761513.41385,15370501347.507423,203450,2025-10-07
14573530673.632189,15318906366.502302,14984515793.168827,14958984277.767776,203450,2025-10-08
15649474248.8807,16272498975.019588,15130270072.923803,15684081098.941366,203450,2025-10-09
4406446440.580465,4591952413.87162,3697845177.813096,4232081344.0883937,203690,2025-10-01
4687395367.739265,4713957135.19186,3775115583.914453,4392156028.948526,203690,2025-10-02
4843080432.208469,4406722582.532508,3852385990.0158105,4367396334.918929,203690,2025-10-03
5243424536.232679,4754142468.649583,3929656396.117168,4642407800.333144,203690,2025-10-04
4962054191.250711,4683571567.746521,4006926802.218525,4550850853.738585,203690,2025-10-05
5329686077.670954,3853000291.2657,4084197208.319883,4422294525.752179,203690,2025-10-06
5000558270.709774,4079008353.091456,4161467614.42124,4413678079.40749,203690,2025-10-07
5395113306.680649,4979305251.032786,4238738020.522597,4871052192.745345,203690,2025-10-08
5567251719.120267,5101309972.353027,4316008426.623955,4994856706.032416,203690,2025-10-09
20250848757.70373,16252373461.003834,14932258583.248814,17145160267.318792,205100,2025-10-01
11445297140.4756,16719324208.050152,15067003516.089527,14410541621.538427,205100,2025-10-02
23414444550.867653,16033268779.845695,15201748448.930244,18216487259.8812,205100,2025-10-03
13468709261.083311,16284754557.62395,15336493381.770956,15029985733.49274,205100,2025-10-04
22220306155.241104,17410092631.112587,15471238314.611671,18367212366.988453,205100,2025-10-05
11860715507.924162,14972322271.613922,15605983247.452385,14146340342.330156,205100,2025-10-06
24674249150.60233,18511750488.553177,15740728180.293098,19642242606.48287,205100,2025-10-07
12927662476.440643,17838286375.998398,15875473113.133814,15547140655.19095,205100,2025-10-08
23796170872.76652,18305237123.04472,16010218045.974527,19370542013.92859,205100,2025-10-09
39086703782.976585,43357074031.13705,40630387644.97025,41024721819.69463,206640,2025-10-01
