ticker,error
0037T0,데이터 부족: 3개
383220,데이터 부족: 18개
383930,데이터 부족: 19개
387570,데이터 부족: 14개
388050,데이터 부족: 20개
388720,데이터 부족: 26개
388790,데이터 부족: 30개
388870,데이터 부족: 16개
389020,데이터 부족: 19개
389030,데이터 부족: 19개
389470,데이터 부족: 15개
389500,데이터 부족: 31개
391710,데이터 부족: 17개
393210,데이터 부족: 14개
393970,데이터 부족: 12개
394280,데이터 부족: 19개
396270,데이터 부족: 21개
396300,데이터 부족: 36개
396470,데이터 부족: 24개
397030,데이터 부족: 20개
398120,데이터 부족: 14개
402340,데이터 부족: 16개
402490,데이터 부족: 16개
403490,데이터 부족: 19개
403870,데이터 부족: 22개
405100,데이터 부족: 24개
406820,데이터 부족: 21개
407400,데이터 부족: 18개
408900,데이터 부족: 23개
408920,데이터 부족: 25개
411080,데이터 부족: 15개
412540,데이터 부족: 25개
413390,데이터 부족: 11개
413630,데이터 부족: 17개
413640,데이터 부족: 15개
417010,데이터 부족: 17개
417180,데이터 부족: 19개
417200,데이터 부족: 14개
417500,데이터 부족: 19개
417790,데이터 부족: 21개
417840,데이터 부족: 18개
417860,데이터 부족: 18개
418250,데이터 부족: 16개
418420,데이터 부족: 19개
418470,데이터 부족: 17개
418550,데이터 부족: 34개
419050,데이터 부족: 16개
419080,데이터 부족: 14개
419120,데이터 부족: 18개
419540,데이터 부족: 20개
420570,데이터 부족: 14개
424960,데이터 부족: 16개
424980,데이터 부족: 23개
425040,데이터 부족: 21개
431190,데이터 부족: 9개
432430,데이터 부족: 16개
432470,데이터 부족: 16개
432720,데이터 부족: 14개
434480,데이터 부족: 16개
435570,데이터 부족: 14개
437730,데이터 부족: 24개
438700,데이터 부족: 16개
439580,데이터 부족: 13개
440110,데이터 부족: 19개
440290,데이터 부족: 31개
440320,데이터 부족: 15개
443060,데이터 부족: 17개
443250,데이터 부족: 16개
443670,데이터 부족: 15개
444530,데이터 부족: 12개
445680,데이터 부족: 17개
446070,데이터 부족: 11개
446540,데이터 부족: 24개
446840,데이터 부족: 16개
448710,데이터 부족: 24개
450080,데이터 부족: 20개
450330,데이터 부족: 13개
450520,데이터 부족: 21개
451220,데이터 부족: 15개
451250,데이터 부족: 17개
451760,데이터 부족: 14개
452160,데이터 부족: 17개
452190,데이터 부족: 28개
452200,데이터 부족: 13개
452260,데이터 부족: 11개
452280,데이터 부족: 23개
452300,데이터 부족: 14개
452400,데이터 부족: 31개
452430,데이터 부족: 15개
452980,데이터 부족: 9개
453450,데이터 부족: 17개
453860,데이터 부족: 15개
454910,데이터 부족: 20개
456010,데이터 부족: 14개
456070,데이터 부족: 13개
457190,데이터 부족: 10개
457370,데이터 부족: 18개
457550,데이터 부족: 22개
458650,데이터 부족: 27개
458870,데이터 부족: 15개
459100,데이터 부족: 11개
460470,데이터 부족: 13개
460850,데이터 부족: 10개
460870,데이터 부족: 17개
460940,데이터 부족: 16개
461030,데이터 부족: 14개
461300,데이터 부족: 27개
462350,데이터 부족: 12개
462510,데이터 부족: 15개
462520,데이터 부족: 9개
462870,데이터 부족: 15개
462980,데이터 부족: 9개
463020,데이터 부족: 9개
463480,데이터 부족: 21개
464080,데이터 부족: 13개
464280,데이터 부족: 17개
464500,데이터 부족: 13개
464580,데이터 부족: 10개
465480,데이터 부족: 13개
465770,데이터 부족: 9개
466100,데이터 부족: 9개
466410,데이터 부족: 15개
468530,데이터 부족: 9개
469750,데이터 부족: 15개
471820,데이터 부족: 11개
473980,데이터 부족: 9개
474170,데이터 부족: 10개
474610,데이터 부족: 15개
474650,데이터 부족: 7개
475230,데이터 부족: 9개
475430,데이터 부족: 26개
475580,데이터 부족: 9개
475660,데이터 부족: 12개
475830,데이터 부족: 12개
476040,데이터 부족: 9개
476080,데이터 부족: 12개
478560,데이터 부족: 8개
479960,데이터 부족: 17개
480370,데이터 부족: 17개
482630,데이터 부족: 22개
483650,데이터 부족: 11개
484120,데이터 부족: 12개
484810,데이터 부족: 13개
484870,데이터 부족: 12개
487570,데이터 부족: 5개
489460,데이터 부족: 7개
489500,데이터 부족: 10개
489790,데이터 부족: 5개
499790,데이터 부족: 4개
900250,데이터 부족: 43개
900260,데이터 부족: 43개
900270,데이터 부족: 42개
900290,데이터 부족: 41개
950160,데이터 부족: 38개
950170,데이터 부족: 37개
950190,데이터 부족: 30개
950210,데이터 부족: 22개
950220,데이터 부족: 21개
