ticker,reported_currency,is_foreign
VRSN,USD,False
VRTV,USD,False
VRTX,USD,False
VSAT,USD,False
VSEC,USD,False
VSH,USD,False
VSTM,USD,False
VSTO,USD,False
VTLE,USD,False
VTOL,USD,False
VTR,USD,False
VTRS,USD,False
VVI,USD,False
VVX,USD,False
VYX,USD,False
VZ,USD,False
VZA,USD,False
W,USD,False
WAB,USD,False
WAT,USD,False
WB,USD,False
WBA,USD,False
WBD,USD,False
WBI,USD,False
WCC,USD,False
WCN,USD,False
WDAY,USD,False
WDC,USD,False
WDFC,USD,False
WDS,USD,False
WELL,USD,False
WEN,USD,False
WERN,USD,False
WES,USD,False
WEX,USD,False
WFG,USD,False
WGO,USD,False
WHR,USD,False
WILC,ILS,True
WINA,USD,False
WING,USD,False
WIRE,USD,False
WIT,INR,True
WIX,USD,False
WK,USD,False
WKC,USD,False
WLDN,USD,False
WLFC,USD,False
WLK,USD,False
WLKP,USD,False
WLY,USD,False
WLYB,USD,False
WM,USD,False
WMB,USD,False
WMK,USD,False
WMS,USD,False
WMT,USD,False
WNC,USD,False
WNS,USD,False
WOLF,USD,False
WOR,USD,False
WPC,USD,False
WPM,USD,False
WPP,GBP,True
WRE,USD,False
WRK,USD,False
WRN,CAD,True
WSC,USD,False
WSM,USD,False
WSO,USD,False
WSR,USD,False
WST,USD,False
WTS,USD,False
WVE,USD,False
WWD,USD,False
WWE,USD,False
WWW,USD,False
WY,USD,False
WYNN,USD,False
X,USD,False
XENE,USD,False
XHR,USD,False
XNCR,USD,False
XOM,USD,False
XPO,USD,False
XPRO,USD,False
XRAY,USD,False
XYL,USD,False
XYZ,USD,False
YELP,USD,False
YNDX,RUB,True
YPF,ARS,True
YUM,USD,False
YY,USD,False
Z,USD,False
ZBH,USD,False
ZBRA,USD,False
ZD,USD,False
ZEUS,USD,False
ZG,USD,False
ZTS,USD,False
ZUMZ,USD,False
ZVRA,USD,False
ZWS,USD,False
