,date_month_end,hs_code_6d,expDlr,ticker,market_cap_billions,revenue_billions,revenue_ttm_billions,revenue_ttm_shift,PSR_ttm
102,2021-07-31,851762,1330050000.0,MMM,95.92,8.95,34.734,32.96,2.9101941747572817
103,2021-08-31,851762,1287540000.0,MMM,94.37,8.95,34.734,34.734,2.716934415846145
104,2021-09-30,851762,1291520000.0,MMM,84.31,8.94,35.326,34.734,2.427304658259918
105,2021-10-31,851762,1450960000.0,MMM,85.88,8.94,35.326,34.734,2.472505326193355
106,2021-11-30,851762,1260170000.0,MMM,81.73,8.94,35.326,35.326,2.3135933873067995
107,2021-12-31,851762,1377540000.0,MMM,84.99,8.61,35.355,35.326,2.405876691388779
108,2022-01-31,851762,1280230000.0,MMM,79.44,8.61,35.355,35.326,2.248768612353507
109,2022-02-28,851762,1218100000.0,MMM,71.13,8.61,35.355,35.355,2.0118795078489606
110,2022-03-31,851762,1497770000.0,MMM,71.07,8.83,35.333,35.355,2.010182435299109
111,2022-04-30,851762,1440520000.0,MMM,68.85,8.83,35.333,35.355,1.9473907509546033
112,2022-05-31,851762,1347310000.0,MMM,71.27,8.83,35.333,35.333,2.0170945008915178
113,2022-06-30,851762,1443480000.0,MMM,61.54,8.7,35.085,35.333,1.7417145444768347
114,2022-07-31,851762,1534930000.0,MMM,68.12,8.7,35.085,35.333,1.9279427164407215
115,2022-08-31,851762,1403540000.0,MMM,59.14,8.7,35.085,35.085,1.685620635599259
116,2022-09-30,851762,1622310000.0,MMM,50.99,8.62,34.762,35.085,1.4533276328915492
117,2022-10-31,851762,1753110000.0,MMM,58.04,8.62,34.762,35.085,1.6542682057859484
118,2022-11-30,851762,1600860000.0,MMM,58.13,8.62,34.762,34.762,1.6722282952649445
119,2022-12-31,851762,1864630000.0,MMM,55.33,8.08,34.229,34.762,1.5916805707381623
120,2023-01-31,851762,1772030000.0,MMM,53.18,8.08,34.229,34.762,1.5298314251193832
121,2023-02-28,851762,1560820000.0,MMM,49.79,8.08,34.229,34.229,1.4546145081655906
122,2023-03-31,851762,1965280000.0,MMM,48.68,8.03,33.431,34.229,1.4221858657863216
123,2023-04-30,851762,1683310000.0,MMM,49.19,8.03,33.431,34.229,1.4370855122849047
